🇨🇳央视频道,#genre#
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226568/index.m3u8
CCTV12,http://[2409:8087:1a15:10d1::34]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV12,http://[2409:8087:1a15:10d1::36]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226568/index.m3u8
CCTV12,http://111.43.104.93:85/tsfile/live/135/2012_1.m3u8?key=txiptv$黑龙江移动 
CCTV13,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226537/.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8 
CCTV13,http://[2409:8087:1a15:10d1::35]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226571/index.m3u8
CCTV13,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226571/.m3u8 
CCTV13,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226537/.m3u8 
CCTV13,http://39.134.65.239/PLTV/88888888/224/3221226125/1.m3u8
CCTV13,http://39.134.66.37:80/PLTV/88888888/224/3221226125/1.m3u8
CCTV13,http://39.134.67.155/PLTV/88888888/224/3221226077/1.m3u8
CCTV13,http://39.134.66.41:80/PLTV/88888888/224/3221226077/1.m3u8
CCTV13,http://39.134.67.110/PLTV/88888888/224/3221226077/1.m3u8
CCTV13,http://39.134.65.198/PLTV/88888888/224/3221225812/1.m3u8
CCTV13,http://39.134.65.247/PLTV/88888888/224/3221225812/1.m3u8
CCTV13,http://39.134.65.209/PLTV/88888888/224/3221225812/1.m3u8
CCTV13,http://39.134.65.213/PLTV/88888888/224/3221225812/1.m3u8
CCTV13,http://39.134.66.46:80/PLTV/88888888/224/3221225812/1.m3u8
